,gameId,blueTeamWin,blueFirstBlood,blueTeamKills,blueTeamDeaths,blueTeamAssists,blueVisionScore,bluePinkWards,blueWardsPlaced,blueWardsKilled,blueAverageLevel,blueAverageGold,redTeamKills,redTeamDeaths,redTeamAssists,redVisionScore,redPinkWards,redWardsPlaced,redWardsKilled,redAverageLevel,redAverageGold,blueFirstDragon,blueDragonsKilled,redDragonsKilled,blueFirstRiftHerald,blueRiftHeraldsKilled,redRiftHeraldsKilled,blueFirstBaron,blueBaronsKilled,redBaronsKilled,blueFirstTower,blueTowersDestroyed,redTowersDestroyed
0,NA1_4856846067,True,True,32,13,51,123,7,52,9,14.0,10584.4,13,32,22,92,7,50,4,12.8,8635.0,True,3,0,True,2,0,False,0,1,True,7,2
1,NA1_4856823367,True,True,35,17,23,90,4,37,8,13.8,10995.0,17,35,27,79,4,38,6,12.0,7911.8,True,3,0,True,2,0,True,1,0,True,11,0
2,NA1_4856804389,True,True,22,9,29,106,9,46,9,14.0,10038.6,8,22,9,100,6,47,12,12.6,7912.0,True,3,0,True,2,0,True,1,0,True,8,3
3,NA1_4853820517,True,True,39,23,58,97,3,40,4,15.0,11859.0,22,39,36,90,2,43,5,13.6,10173.8,False,3,1,True,1,0,True,1,0,True,9,1
4,NA1_4853777622,True,False,48,26,62,156,6,60,16,15.8,13074.0,26,48,32,130,13,60,7,13.8,10508.4,True,4,0,False,1,1,True,1,0,False,11,2
5,NA1_4853557274,True,False,53,45,67,226,17,82,45,17.4,16797.8,45,54,65,233,14,99,29,16.8,15807.6,False,3,3,True,2,0,True,2,0,True,11,6
6,NA1_4851965556,True,True,37,17,40,127,9,52,10,15.0,12140.0,17,37,14,98,4,54,5,13.8,10006.4,True,3,1,True,1,1,True,1,0,True,10,5
7,NA1_4851931971,False,True,38,51,45,114,6,55,18,14.6,11913.6,51,38,44,119,4,59,8,15.0,12612.2,False,0,3,False,0,1,False,0,0,False,4,7
8,NA1_4851883894,False,True,38,49,52,122,9,52,24,15.8,13004.8,49,38,58,194,24,77,20,16.6,14511.4,True,1,4,False,0,1,False,0,1,False,3,10
9,NA1_4747291181,True,True,4,1,0,3,1,5,0,4.0,1628.8,1,4,0,3,0,3,0,3.4,1306.2,False,0,0,False,0,0,False,0,0,False,0,0
10,NA1_4746898611,True,False,34,34,44,183,8,71,21,15.8,12823.6,34,34,34,167,15,66,19,15.4,11895.6,True,3,1,False,1,1,False,0,1,False,10,3
11,NA1_4746139867,True,False,38,37,83,186,12,66,25,17.2,15268.4,37,38,42,162,12,62,17,16.6,15080.6,False,2,4,False,0,2,False,1,1,False,9,8
12,NA1_4746108958,True,False,40,35,40,147,6,53,21,16.8,14717.2,35,40,45,175,9,63,20,16.4,13627.0,True,3,1,False,0,2,False,0,0,False,11,3
13,NA1_4746084130,False,True,15,17,23,143,13,69,15,14.6,10127.0,17,15,22,197,14,67,24,15.6,11831.8,False,0,5,False,0,2,False,0,1,False,2,11
14,NA1_4746059423,False,True,11,25,21,119,8,53,16,13.8,10466.2,25,11,23,137,14,53,14,15.6,12172.4,False,1,3,True,2,0,False,0,1,True,3,11
15,NA1_4746033530,True,False,45,49,61,181,6,85,24,17.8,17573.2,49,45,54,262,26,97,26,17.4,16311.2,True,3,3,False,1,1,True,2,1,False,8,8
16,NA1_4746011392,True,False,32,27,48,181,6,65,24,15.0,12638.2,27,32,41,165,12,81,16,14.6,11039.4,True,4,0,True,1,1,False,0,1,True,9,4
17,NA1_4745304232,False,False,35,48,75,162,27,91,15,16.2,13115.8,48,35,60,205,5,58,40,16.2,14368.2,False,1,4,True,1,1,False,0,0,False,2,11
18,NA1_4745261948,True,True,64,59,63,249,10,97,29,18.0,19863.0,59,64,73,239,14,89,31,18.0,18318.0,True,4,3,True,1,0,True,3,0,False,9,6
19,NA1_4745089656,False,False,21,36,33,127,7,55,11,14.8,10796.0,36,21,46,114,5,47,9,16.6,13300.6,False,0,4,False,0,2,False,0,1,False,3,11
